Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
ATC,ATC,ASICS AMERICA CORPORATION,A
ATCAR,ATCAR,IRWIN INDUSTRIAL,I
ATCDW2,ATCDW2,IRWIN INDUSTRIAL TOOL COMPANY,I
ATCME,ATCME,IRWIN INDUSTRIAL,I
ATCOH,ATCOH,IRWIN INDUSTRIAL,I
ATCSTS,ATCSTS,ASICS BRASIL DIST COM ART ESPORTIVOS LTDA,A
ATCWI,ATCWI,IRWIN INDUSTRIAL TOOL COMPANY,I
ATESA,ATESA,ATLAS EXPEDITORS S.A. DE C.V.,I
ATHC,ATHC,AMERICAN TACK AND HARDWARE CO.,A
ATHCO,ATHCO,LIBERTY APPAREL,I
ATL,ATL,AMERANDES TRANSPORTES LOGISTICOS,I
LBRT,ATLA,ATLAS ASIA LIMITED,I
ATLAN,ATLAN,ATLANTIS MOTORS,I
ATLAS,ATLAS,ATLAS STONE PRODUCTS,I
ATMVKF,ATMVKF,ALTINYILDIZ MENSUCAT VE KONFEKSIYON FABRIKALARI A.S.,I
ATNT,ATNT,VTECH INNOVATIONS S.A. DE C.V.,I
ATO,ATO,ASICS OCEANIA PTY LTD (AOP),A
ATRE,ATRE,ATREMEF N.V.,I
ASCENA,ATS,ASCENA TRADE SERVICES,A
ATSA,ATSA,ACQUA TERRA S.A.,I
LIMIT,ATSCO,ATSCO FOOTWEAR,I
ATSDTL,ATSDTL,ASTER TEKSTYL SAN VE DIP TIC LTD STI,I
ATSVT,ATSVT,AMBER TEKSTIL SAN. VE TIC. A.S.,I
ATTLEH,ATTLEH,ATT LE HAVRE,I
AVNET,ATVTS,TS EUROPE BVBA / BE,I
AUCHAN,AUCFRA,AUCHAN FRANCE,I
AUCHAN,AUCHAN,AUCHAN INT'L (SHANGHAI) INTL TRADING CO LTD,I
AUCHAN,AUCHFR,AUCHAN,I
AUDAX,AUDAX,AUDAX INDUSTRIES,I
AUDIO,AUDIO,COMERCIAL E IMPORTADORA AUDIOMUSICA SPA,I
AEBV,AUK,ASICS UK,I
AURAS,AURAS,"AUTRAS TECHNOLOGY CO.,LTD.",I
AURO,AURO,AURORA-1,I
WRNCO,AUTCA,AUTHENTIC FITNESS OF CANADA,I
AUTECO,AUTECO,AUTOTECNICA COLOMBIANA S.A.,I
AUTO,AUTO,AUTO DIRECT,A
AUTO,AUTOID,AUTO DIRECT INDONESIA,I
AUTO,AUTOPC,AUTO DIRECT CHINA,I
AUTO,AUTOPH,AUTO DIRECT PHILIPPINES,I
AUTO,AUTOTH,AUTO DIRECT THAILAND,I
WRNCO,AUTVAN,AUTHENTIC FITNESS CORP OF CANA,I
LBRT,AVAS,AVOCENT ASIA PACIFIC PTE LTD,I
DELL,AVC,"ASIA VITAL COMPONENTS CO.,LTD.",I
AVNET,AVEBV,EBV ELEKTRONIK GMBH & CO KG,A
AVENT,AVENT,ADISSEO ASIA PACIFIC PTE LTD,I
AVENUE,AVENUE,UNITED RETAIL,I
AVERY,AVERY,AVERY DENNISON (INDIA) P LTD,I
LBRT,AVHU,"VERTIV IT SYSTEMS, INC",I
AVIARA,AVIARA,AVIARA S.A. DE C.V.,I
AVNET,AVNET,AVNET LOGISTICS GMBH,A
AVOARV,AVOARV,AVO,I
EMERSN,AVOAS,EMERSN- AVOCENT ASIA PACIFIC PTE LTD,I
EMERSN,AVOC,AVOCENT INTERNATIONAL,I
EMERSN,AVOHU,AVOCENT HUNTSVILLE,I
AVONEU,AVONEU,AVON COSMETICS LTD,I
AVPROD,AVPROD,"AVON PRODUCTS, INC",I
AVNET,AVSCS,AVNET COMM VA CO SUPPLY CHAIN SOLUTIONS,I
AWI,AWI,A.W.&I. ROBINSON,I
AWJAN,AWJAN,AW JAN,I
AWOBA,AWOBA,AWOBA WOHN UND GERWERBE GMBH,I
AYERS,AYERS,BARRY MANUFACTURING,I
AEO,A360MY,APPARELS 360 SDN BHD,A
BABY,BABY,4 MY BABY,I
BAGBAZ,BAGBAZ,BAG BAZAAR LLC,I
BAGFAC,BAGFAC,THE BAG FACTORY,I
BAHR,BAHR,BAHR BEHREND & CO LTD,I
BALTIC,BALTIC,"BALTIC LINEN COMPANY,INC",I
BALZ,BALZ,BALZAC INC,I
